

AAPL Financials(Income Statement/Balance Sheet):

Income Statement for AAPL                                                        2023-09-30      2022-09-30      2021-09-30      2020-09-30
Basic EPS                                                     5.84            4.59        5.694003            2.957501
Diluted NI Availto Com Stockholders                  73795000000.0   59972000000.0   76033000000.0       40269000000.0
Net Income Common Stockholders                       73795000000.0   59972000000.0   76033000000.0       40269000000.0
Net Income                                           73795000000.0   59972000000.0   76033000000.0       40269000000.0
Net Income Including Noncontrolling Interests        73795000000.0   59972000000.0   76033000000.0       40269000000.0
Net Income Continuous Operations                     73795000000.0   59972000000.0   76033000000.0       40269000000.0
Tax Provision                                        11922000000.0   11356000000.0   14701000000.0        7813000000.0
Pretax Income                                        85717000000.0   71328000000.0   90734000000.0       48082000000.0
Other Income Expense                                 -2133000000.0   -5331000000.0   10867000000.0        5128000000.0
Other Non Operating Income Expenses                    556000000.0    1179000000.0   -1497000000.0       -1246000000.0
Special Income Charges                                         NaN             NaN             0.0                 0.0
Earnings From Equity Interest                         -628000000.0    -337000000.0     334000000.0         401000000.0
Gain On Sale Of Security                             -2061000000.0   -6173000000.0   12030000000.0        5973000000.0
Net Non Operating Interest Income Expense             3557000000.0    1817000000.0    1153000000.0        1730000000.0
Interest Expense Non Operating                         308000000.0     357000000.0     346000000.0         135000000.0
Interest Income Non Operating                         3865000000.0    2174000000.0    1499000000.0        1865000000.0
Operating Income                                     84293000000.0   74842000000.0   78714000000.0       41224000000.0
Operating Expense                                    89769000000.0   81791000000.0   67984000000.0       56571000000.0
Research And Development                             45427000000.0   39500000000.0   31562000000.0       27573000000.0
Selling General And Administration                   44342000000.0   42291000000.0   36422000000.0       28998000000.0
Selling And Marketing Expense                        27917000000.0   26567000000.0   22912000000.0       17946000000.0
General And Administrative Expense                   16425000000.0   15724000000.0   13510000000.0       11052000000.0
Other Gand A                                         16425000000.0   15724000000.0   13510000000.0       11052000000.0
Gross Profit                                        174062000000.0  156633000000.0  146698000000.0       97795000000.0
